state,chamber,district,party,pres_margin,next_election
AL,Senate,20,D,55.0,2026.0
AL,Senate,21,R,-31.1,2026.0
AL,Senate,22,R,-59.9,2026.0
AL,Senate,23,D,5.4,2026.0
AL,Senate,24,D,17.1,2026.0
AL,Senate,25,R,-28.8,2026.0
AL,Senate,26,D,51.9,2026.0
AL,Senate,27,R,-28.3,2026.0
AL,Senate,28,D,3.7,2026.0
AL,Senate,29,R,-58.7,2026.0
AL,Senate,30,R,-45.1,2026.0
AL,Senate,31,R,-56.1,2026.0
AL,Senate,32,R,-53.9,2026.0
AL,Senate,33,D,34.6,2026.0
AL,Senate,34,R,-38.0,2026.0
AL,Senate,35,R,-41.3,2026.0
AK,House,1,R,-17.4,2026.0
AK,House,2,I,0.4,2026.0
AK,House,3,D,14.7,2026.0
AK,House,4,D,37.4,2026.0
AK,House,5,R,-12.8,2026.0
AK,House,6,R,-16.1,2026.0
AK,House,7,R,-44.4,2026.0
AK,House,8,R,-49.7,2026.0
AK,House,9,NP,2.3,2026.0
AK,House,10,R,-3.3,2026.0
AK,House,11,R,-2.3,2026.0
AK,House,12,I,1.3,2026.0
AK,House,13,D,1.2,2026.0
AK,House,14,I,21.2,2026.0
AK,House,15,R,-2.5,2026.0
AK,House,16,D,14.6,2026.0
AK,House,17,D,33.5,2026.0
AK,House,18,R,-15.7,2026.0
AK,House,19,D,17.0,2026.0
AK,House,20,D,12.2,2026.0
AK,House,21,D,8.0,2026.0
AK,House,22,D,1.2,2026.0
AK,House,23,R,-18.6,2026.0
AK,House,24,R,-32.1,2026.0
AK,House,25,R,-35.6,2026.0
AK,House,26,R,-54.3,2026.0
AK,House,27,R,-56.2,2026.0
AK,House,28,R,-48.5,2026.0
AK,House,29,R,-44.9,2026.0
AK,House,30,R,-44.7,2026.0
AK,House,31,D,-3.4,2026.0
AK,House,32,R,-31.7,2026.0
AK,House,33,R,-51.2,2026.0
AK,House,34,R,-20.7,2026.0
AK,House,35,D,5.0,2026.0
AK,House,36,R,-21.8,2026.0
AK,House,37,I,-6.6,2026.0
AK,House,38,D,11.8,2026.0
AK,House,39,D,11.7,2026.0
AK,House,40,D,-9.9,2026.0
AK,Senate,A,R,-8.0,2026.0
AK,Senate,B,D,25.0,2028.0
AK,Senate,C,R,-14.8,2026.0
AK,Senate,D,R,-47.2,2028.0
AK,Senate,E,R,-0.1,2026.0
AK,Senate,F,R,-0.7,2028.0
AK,Senate,G,D,11.1,2026.0
AK,Senate,H,D,6.2,2028.0
AK,Senate,I,D,14.6,2026.0
AK,Senate,J,D,14.1,2028.0
AK,Senate,K,D,5.5,2026.0
AK,Senate,L,R,-25.2,2028.0
AK,Senate,M,R,-44.4,2026.0
AK,Senate,N,R,-52.3,2028.0
AK,Senate,O,R,-44.8,2026.0
AK,Senate,P,D,-16.3,2028.0
AK,Senate,Q,R,-35.0,2026.0
AK,Senate,R,R,-8.3,2028.0
AK,Senate,S,D,2.2,2026.0
AK,Senate,T,D,2.2,2028.0
AZ,House,1,R,-33.2,2026.0
AZ,House,1,R,-33.2,2026.0
AZ,House,2,D,-5.5,2026.0
AZ,House,2,R,-5.5,2026.0
AZ,House,3,R,-24.5,2026.0
AZ,House,3,R,-24.5,2026.0
AZ,House,4,R,-3.5,2026.0
AZ,House,4,R,-3.5,2026.0
AZ,House,5,D,36.4,2026.0
AZ,House,5,D,36.4,2026.0
AZ,House,6,D,25.4,2026.0
AZ,House,6,D,25.4,2026.0
AZ,House,7,R,-29.2,2026.0
AZ,House,7,R,-29.2,2026.0
AZ,House,8,D,19.7,2026.0
AZ,House,8,D,19.7,2026.0
AZ,House,9,D,3.0,2026.0
AZ,House,9,D,3.0,2026.0
AZ,House,10,R,-20.9,2026.0
AZ,House,10,R,-20.9,2026.0
AZ,House,11,D,39.8,2026.0
AZ,House,11,D,39.8,2026.0
AZ,House,12,D,15.8,2026.0
AZ,House,12,D,15.8,2026.0
AZ,House,13,R,-1.2,2026.0
AZ,House,13,R,-1.2,2026.0
AZ,House,14,R,-18.3,2026.0
AZ,House,14,R,-18.3,2026.0
AZ,House,15,R,-30.5,2026.0
AZ,House,15,R,-30.5,2026.0
AZ,House,16,R,-9.4,2026.0
AZ,House,16,R,-9.4,2026.0
AZ,House,17,R,-3.9,2026.0
AZ,House,17,R,-3.9,2026.0
AZ,House,18,D,23.9,2026.0
AZ,House,18,D,23.9,2026.0
AZ,House,19,R,-23.0,2026.0
AZ,House,19,R,-23.0,2026.0
AZ,House,20,D,43.3,2026.0
AZ,House,20,D,43.3,2026.0
AZ,House,21,D,18.5,2026.0
AZ,House,21,D,18.5,2026.0
AZ,House,22,D,21.2,2026.0
AZ,House,22,D,21.2,2026.0
AZ,House,23,R,1.8,2026.0
AZ,House,23,D,1.8,2026.0
AZ,House,24,D,20.5,2026.0
AZ,House,24,D,20.5,2026.0
AZ,House,25,R,-29.4,2026.0
AZ,House,25,R,-29.4,2026.0
AZ,House,26,D,28.8,2026.0
AZ,House,26,D,28.8,2026.0
AZ,House,27,R,-11.3,2026.0
AZ,House,27,R,-11.3,2026.0
AZ,House,28,R,-23.2,2026.0
AZ,House,28,R,-23.2,2026.0
AZ,House,29,R,-18.4,2026.0
AZ,House,29,R,-18.4,2026.0
AZ,House,30,R,-55.4,2026.0
AZ,House,30,R,-55.4,2026.0
AZ,Senate,1,R,-33.2,2026.0
AZ,Senate,2,R,-5.5,2026.0
AZ,Senate,3,R,-24.5,2026.0
AZ,Senate,4,R,-3.5,2026.0
AZ,Senate,5,D,36.4,2026.0
AZ,Senate,6,D,25.4,2026.0
AZ,Senate,7,R,-29.2,2026.0
AZ,Senate,8,D,19.7,2026.0
AZ,Senate,9,D,3.0,2026.0
AZ,Senate,10,R,-20.9,2026.0
AZ,Senate,11,D,39.8,2026.0
AZ,Senate,12,D,15.8,2026.0
AZ,Senate,13,R,-1.2,2026.0
AZ,Senate,14,R,-18.3,2026.0
AZ,Senate,15,R,-30.5,2026.0
AZ,Senate,16,R,-9.4,2026.0
AZ,Senate,17,R,-3.9,2026.0
AZ,Senate,18,D,23.9,2026.0
AZ,Senate,19,R,-23.0,2026.0
AZ,Senate,20,D,43.3,2026.0
AZ,Senate,21,D,18.5,2026.0
AZ,Senate,22,D,21.2,2026.0
AZ,Senate,23,D,1.8,2026.0
AZ,Senate,24,D,20.5,2026.0
AZ,Senate,25,R,-29.4,2026.0
AZ,Senate,26,D,28.8,2026.0
AZ,Senate,27,R,-11.3,2026.0
AZ,Senate,28,R,-23.2,2026.0
AZ,Senate,29,R,-18.4,2026.0
AZ,Senate,30,R,-55.4,2026.0
AR,House,1,R,-65.6,2026.0
AR,House,2,R,-58.3,2026.0
AR,House,3,R,-57.6,2026.0
AR,House,4,R,-59.2,2026.0
AR,House,5,R,-63.3,2026.0
AR,House,6,R,-37.8,2026.0
AR,House,7,R,-27.3,2026.0
AR,House,8,R,-35.3,2026.0
AR,House,9,D,1.2,2026.0
AR,House,10,R,-9.6,2026.0
AR,House,11,R,-18.5,2026.0
AR,House,12,R,-39.3,2026.0
AR,House,13,R,-9.0,2026.0
AR,House,14,R,-24.1,2026.0
AR,House,15,R,-12.5,2026.0
AR,House,16,R,-28.1,2026.0
AR,House,17,R,-51.0,2026.0
AR,House,18,R,-21.3,2026.0
AR,House,19,R,-6.8,2026.0
AR,House,20,D,22.1,2026.0
AR,House,21,D,44.3,2026.0
AR,House,22,D,-1.9,2026.0
AR,House,23,R,-34.7,2026.0
AR,House,24,R,-61.5,2026.0
AR,House,25,R,-40.4,2026.0
AR,House,26,R,-60.2,2026.0
AR,House,27,R,-67.1,2026.0
AR,House,28,R,-68.5,2026.0
AR,House,29,R,-49.9,2026.0
AR,House,30,R,-56.4,2026.0
AR,House,31,R,-57.2,2026.0
AR,House,32,R,-19.1,2026.0
AR,House,33,R,-57.9,2026.0
AR,House,34,R,-10.6,2026.0
AR,House,35,D,-7.9,2026.0
AR,House,36,R,-35.3,2026.0
AR,House,37,R,-42.7,2026.0
AR,House,38,R,-48.6,2026.0
AR,House,39,R,-61.2,2026.0
AR,House,40,R,-59.4,2026.0
AR,House,41,R,-65.4,2026.0
AR,House,42,R,-62.2,2026.0
AR,House,43,R,-47.4,2026.0
AR,House,44,R,-64.5,2026.0
AR,House,45,R,-53.8,2026.0
AR,House,46,R,-62.3,2026.0
AR,House,47,R,-64.5,2026.0
AR,House,48,R,-48.0,2026.0
AR,House,49,D,9.9,2026.0
AR,House,50,R,-20.8,2026.0
AR,House,51,R,-34.8,2026.0
AR,House,52,R,-66.3,2026.0
AR,House,53,R,-33.1,2026.0
AR,House,54,R,-40.7,2026.0
AR,House,55,R,-11.1,2026.0
AR,House,56,D,-4.7,2026.0
AR,House,57,R,-66.2,2026.0
AR,House,58,R,-51.3,2026.0
AR,House,59,R,-61.4,2026.0
AR,House,60,R,-51.6,2026.0
AR,House,61,R,-38.6,2026.0
AR,House,62,R,2.2,2026.0
AR,House,63,D,25.3,2026.0
AR,House,64,D,51.2,2026.0
AR,House,65,D,47.3,2026.0
AR,House,66,D,33.3,2026.0
AR,House,67,R,-0.2,2026.0
AR,House,68,R,-53.2,2026.0
AR,House,69,R,-35.3,2026.0
AR,House,70,D,1.6,2026.0
AR,House,71,R,-2.6,2026.0
AR,House,72,D,44.7,2026.0
AR,House,73,D,18.5,2026.0
AR,House,74,D,47.2,2026.0
AR,House,75,D,10.8,2026.0
AR,House,76,D,73.7,2026.0
AR,House,77,D,58.0,2026.0
AR,House,78,R,-30.2,2026.0
AR,House,79,D,62.7,2026.0
AR,House,80,D,53.2,2026.0
AR,House,81,R,-19.4,2026.0
AR,House,82,R,-33.0,2026.0
AR,House,83,R,-44.7,2026.0
AR,House,84,R,-28.1,2026.0
AR,House,85,R,-44.7,2026.0
AR,House,86,R,-69.0,2026.0
AR,House,87,R,-59.2,2026.0
AR,House,88,R,-36.9,2026.0
AR,House,89,R,-54.8,2026.0
AR,House,90,R,-38.2,2026.0
AR,House,91,R,-28.2,2026.0
AR,House,92,R,-65.0,2026.0
AR,House,93,R,-56.1,2026.0
AR,House,94,R,-28.8,2026.0
AR,House,95,R,-30.7,2026.0
AR,House,96,R,-50.0,2026.0
AR,House,97,R,-28.4,2026.0
AR,House,98,R,-13.7,2026.0
AR,House,99,R,-64.1,2026.0
AR,House,100,R,-35.3,2026.0
AR,Senate,1,R,-43.0,2028.0
AR,Senate,2,R,-36.6,2026.0
AR,Senate,3,R,-37.1,2028.0
AR,Senate,4,R,-52.0,2028.0
AR,Senate,5,R,-67.2,2028.0
AR,Senate,6,R,-36.1,2028.0
AR,Senate,7,R,-52.3,2026.0
AR,Senate,8,D,18.9,2028.0
AR,Senate,9,D,9.4,2026.0
AR,Senate,10,R,-44.7,2026.0
AR,Senate,11,R,-47.3,2026.0
AR,Senate,12,D,47.4,2028.0
AR,Senate,13,R,-1.5,2026.0
AR,Senate,14,D,25.2,2026.0
AR,Senate,15,D,61.5,2026.0
AR,Senate,16,R,-29.7,2026.0
AR,Senate,17,R,-12.5,2028.0
AR,Senate,18,R,-62.5,2028.0
AR,Senate,19,R,-49.5,2028.0
AR,Senate,20,R,-30.2,2028.0
AR,Senate,21,R,-61.6,2026.0
AR,Senate,22,R,-62.9,2028.0
AR,Senate,23,R,-60.5,2028.0
AR,Senate,24,R,-61.8,2026.0
AR,Senate,25,R,-48.6,2028.0
AR,Senate,26,R,-56.6,2028.0
AR,Senate,27,R,-19.6,2026.0
AR,Senate,28,R,-52.4,2026.0
AR,Senate,29,R,-48.0,2028.0
AR,Senate,30,D,25.7,2026.0
AR,Senate,31,R,-16.7,2026.0
AR,Senate,32,R,-28.6,2026.0
AR,Senate,33,R,-22.8,2028.0
AR,Senate,34,R,-21.8,2028.0
AR,Senate,35,R,-36.1,2026.0
CA,Assembly,1,R,-16.1,2026.0
CA,Assembly,2,D,34.8,2026.0
CA,Assembly,3,R,-19.2,2026.0
CA,Assembly,4,D,30.0,2026.0
CA,Assembly,5,R,-10.7,2026.0
CA,Assembly,6,D,34.0,2026.0
CA,Assembly,7,R,4.5,2026.0
CA,Assembly,8,R,-18.3,2026.0
CA,Assembly,9,R,-23.3,2026.0
CA,Assembly,10,D,27.9,2026.0
CA,Assembly,11,D,19.5,2026.0
CA,Assembly,12,D,55.5,2026.0
CA,Assembly,13,D,13.3,2026.0
CA,Assembly,14,D,71.5,2026.0
CA,Assembly,15,D,31.7,2026.0
CA,Assembly,16,D,36.4,2026.0
CA,Assembly,17,D,67.3,2026.0
CA,Assembly,18,D,72.1,2026.0
CA,Assembly,19,D,57.5,2026.0
CA,Assembly,20,D,40.3,2026.0
CA,Assembly,21,D,50.6,2026.0
CA,Assembly,22,R,-7.5,2026.0
CA,Assembly,23,D,54.5,2026.0
CA,Assembly,24,D,30.6,2026.0
CA,Assembly,25,D,32.4,2026.0
CA,Assembly,26,D,45.3,2026.0
CA,Assembly,27,D,-2.7,2026.0
CA,Assembly,28,D,43.9,2026.0
CA,Assembly,29,D,23.4,2026.0
CA,Assembly,30,D,27.1,2026.0
CA,Assembly,31,D,13.0,2026.0
CA,Assembly,32,R,-33.2,2026.0
CA,Assembly,33,R,-18.6,2026.0
CA,Assembly,34,R,-19.8,2026.0
CA,Assembly,35,D,0.3,2026.0
CA,Assembly,36,R,-1.3,2026.0
CA,Assembly,37,D,24.3,2026.0
CA,Assembly,38,D,23.8,2026.0
CA,Assembly,39,D,9.2,2026.0
CA,Assembly,40,R,8.4,2026.0
CA,Assembly,41,D,21.4,2026.0
CA,Assembly,42,D,14.2,2026.0
CA,Assembly,43,D,29.7,2026.0
CA,Assembly,44,D,32.9,2026.0
CA,Assembly,45,D,12.2,2026.0
CA,Assembly,46,D,25.9,2026.0
CA,Assembly,47,R,4.1,2026.0
CA,Assembly,48,D,16.5,2026.0
CA,Assembly,49,D,23.7,2026.0
CA,Assembly,50,D,9.7,2026.0
CA,Assembly,51,D,52.0,2026.0
CA,Assembly,52,D,53.6,2026.0
CA,Assembly,53,D,12.0,2026.0
CA,Assembly,54,D,43.8,2026.0
CA,Assembly,55,D,62.2,2026.0
CA,Assembly,56,D,17.7,2026.0
CA,Assembly,57,D,52.7,2026.0
CA,Assembly,58,R,4.0,2026.0
CA,Assembly,59,R,-6.4,2026.0
CA,Assembly,60,D,8.4,2026.0
CA,Assembly,61,D,56.8,2026.0
CA,Assembly,62,D,28.8,2026.0
CA,Assembly,63,R,-12.8,2026.0
CA,Assembly,64,D,16.2,2026.0
CA,Assembly,65,D,43.5,2026.0
CA,Assembly,66,D,23.3,2026.0
CA,Assembly,67,D,10.4,2026.0
CA,Assembly,68,D,22.2,2026.0
CA,Assembly,69,D,38.2,2026.0
CA,Assembly,70,R,-3.1,2026.0
CA,Assembly,71,R,-11.1,2026.0
CA,Assembly,72,R,-2.7,2026.0
CA,Assembly,73,D,16.6,2026.0
CA,Assembly,74,R,1.9,2026.0
CA,Assembly,75,R,-13.8,2026.0
CA,Assembly,76,D,12.6,2026.0
CA,Assembly,77,D,29.4,2026.0
CA,Assembly,78,D,36.3,2026.0
CA,Assembly,79,D,22.6,2026.0
CA,Assembly,80,D,17.1,2026.0
CA,Senate,1,R,-20.9,2028.0
CA,Senate,2,D,43.2,2026.0
CA,Senate,3,D,26.9,2028.0
CA,Senate,4,R,-12.6,2026.0
CA,Senate,5,D,8.3,2028.0
CA,Senate,6,R,-1.1,2026.0
CA,Senate,7,D,71.8,2028.0
CA,Senate,8,D,32.5,2026.0
CA,Senate,9,D,38.3,2028.0
CA,Senate,10,D,37.2,2026.0
CA,Senate,11,D,62.3,2028.0
CA,Senate,12,R,-25.9,2026.0
CA,Senate,13,D,52.3,2028.0
CA,Senate,14,D,4.0,2026.0
CA,Senate,15,D,35.0,2028.0
CA,Senate,16,D,-8.9,2026.0
CA,Senate,17,D,31.9,2028.0
CA,Senate,18,D,13.1,2026.0
CA,Senate,19,R,-3.3,2028.0
CA,Senate,20,D,28.1,2026.0
CA,Senate,21,D,22.8,2028.0
CA,Senate,22,D,14.1,2026.0
CA,Senate,23,R,-1.7,2028.0
CA,Senate,24,D,37.8,2026.0
CA,Senate,25,D,24.3,2028.0
CA,Senate,26,D,54.0,2026.0
CA,Senate,27,D,21.9,2028.0
CA,Senate,28,D,60.0,2026.0
CA,Senate,29,D,9.8,2028.0
CA,Senate,30,D,17.3,2026.0
CA,Senate,31,D,7.6,2028.0
CA,Senate,32,R,-15.0,2026.0
CA,Senate,33,D,36.3,2028.0
CA,Senate,34,D,16.4,2026.0
CA,Senate,35,D,45.8,2028.0
CA,Senate,36,R,-4.0,2026.0
CA,Senate,37,R,7.4,2028.0
CA,Senate,38,D,12.8,2026.0
CA,Senate,39,D,27.5,2028.0
CA,Senate,40,R,3.8,2026.0
CO,House,1,D,29.4,2026.0
CO,House,2,D,57.1,2026.0
CO,House,3,D,33.6,2026.0
CO,House,4,D,58.1,2026.0
CO,House,5,D,58.6,2026.0
CO,House,6,D,69.5,2026.0
CO,House,7,D,44.9,2026.0
CO,House,8,D,74.2,2026.0
CO,House,9,D,49.3,2026.0
CO,House,10,D,72.6,2026.0
CO,House,11,D,40.5,2026.0
CO,House,12,D,58.1,2026.0
CO,House,13,D,11.2,2026.0
CO,House,14,R,-10.5,2026.0
CO,House,15,R,-13.3,2026.0
CO,House,16,R,6.9,2026.0
CO,House,17,D,11.0,2026.0
CO,House,18,D,11.5,2026.0
CO,House,19,R,8.7,2026.0
CO,House,20,R,-32.9,2026.0
CO,House,21,R,-15.0,2026.0
CO,House,22,R,-10.4,2026.0
CO,House,23,D,30.0,2026.0
CO,House,24,D,18.2,2026.0
CO,House,25,D,10.7,2026.0
CO,House,26,D,6.0,2026.0
CO,House,27,D,22.4,2026.0
CO,House,28,D,10.8,2026.0
CO,House,29,D,22.3,2026.0
CO,House,30,D,29.2,2026.0
CO,House,31,D,11.2,2026.0
CO,House,32,D,7.1,2026.0
CO,House,33,D,22.9,2026.0
CO,House,34,D,7.7,2026.0
CO,House,35,D,25.0,2026.0
CO,House,36,D,24.0,2026.0
CO,House,37,D,19.3,2026.0
CO,House,38,D,16.0,2026.0
CO,House,39,R,-8.6,2026.0
CO,House,40,D,19.0,2026.0
CO,House,41,D,29.0,2026.0
CO,House,42,D,34.9,2026.0
CO,House,43,D,7.0,2026.0
CO,House,44,R,-9.7,2026.0
CO,House,45,R,-16.5,2026.0
CO,House,46,D,-0.8,2026.0
CO,House,47,R,-30.4,2026.0
CO,House,48,R,-26.4,2026.0
CO,House,49,D,33.0,2026.0
CO,House,50,R,-3.3,2026.0
CO,House,51,R,0.8,2026.0
CO,House,52,D,33.3,2026.0
CO,House,53,D,49.3,2026.0
CO,House,54,R,-39.1,2026.0
CO,House,55,R,-14.4,2026.0
CO,House,56,R,-49.0,2026.0
CO,House,57,D,16.0,2026.0
CO,House,58,R,-9.2,2026.0
CO,House,59,D,7.3,2026.0
CO,House,60,R,-35.5,2026.0
CO,House,61,D,8.3,2026.0
CO,House,62,D,0.1,2026.0
CO,House,63,R,-57.6,2026.0
CO,House,64,R,-20.5,2026.0
CO,House,65,R,-17.1,2026.0
CO,Senate,1,R,-44.4,2026.0
CO,Senate,2,R,-13.4,2028.0
CO,Senate,3,D,-5.1,2026.0
CO,Senate,4,R,-17.2,2026.0
CO,Senate,5,R,-0.8,2026.0
CO,Senate,6,R,0.7,2028.0
CO,Senate,7,R,-24.8,2026.0
CO,Senate,8,D,10.2,2026.0
CO,Senate,9,R,-14.6,2026.0
CO,Senate,10,R,-9.4,2028.0
CO,Senate,11,D,4.2,2026.0
CO,Senate,12,D,4.0,2028.0
CO,Senate,13,R,-11.5,2028.0
CO,Senate,14,D,42.7,2028.0
CO,Senate,15,D,7.7,2026.0
CO,Senate,16,D,12.8,2028.0
CO,Senate,17,D,39.6,2028.0
CO,Senate,18,D,68.0,2028.0
CO,Senate,19,D,19.1,2028.0
CO,Senate,20,D,17.3,2026.0
CO,Senate,21,D,3.7,2028.0
CO,Senate,22,D,32.9,2026.0
CO,Senate,23,R,-13.1,2028.0
CO,Senate,24,D,6.7,2026.0
CO,Senate,25,D,23.1,2026.0
CO,Senate,26,D,30.1,2028.0
CO,Senate,27,D,12.1,2026.0
CO,Senate,28,D,25.6,2028.0
CO,Senate,29,D,27.0,2028.0
CO,Senate,30,R,2.4,2026.0
CO,Senate,31,D,64.4,2028.0
CO,Senate,32,D,47.7,2026.0
CO,Senate,33,D,61.5,2028.0
CO,Senate,34,D,57.8,2026.0
CO,Senate,35,R,-43.5,2026.0
CT,House,1,D,73.8,2026.0
CT,House,2,D,12.1,2026.0
CT,House,3,D,51.5,2026.0
CT,House,4,D,60.8,2026.0
CT,House,5,D,58.7,2026.0
CT,House,6,D,46.7,2026.0
CT,House,7,D,81.3,2026.0
CT,House,8,R,1.6,2026.0
CT,House,9,D,31.7,2026.0
CT,House,10,D,37.7,2026.0
CT,House,11,D,39.7,2026.0
CT,House,12,D,32.1,2026.0
CT,House,13,D,30.5,2026.0
CT,House,14,R,20.2,2026.0
CT,House,15,D,67.5,2026.0
CT,House,16,D,29.7,2026.0
CT,House,17,D,20.8,2026.0
CT,House,18,D,55.7,2026.0
CT,House,19,D,46.3,2026.0
CT,House,20,D,27.1,2026.0
CT,House,21,D,20.3,2026.0
CT,House,22,D,-3.8,2026.0
CT,House,23,R,18.0,2026.0
CT,House,24,D,26.0,2026.0
CT,House,25,D,30.5,2026.0
CT,House,26,D,15.0,2026.0
CT,House,27,D,14.5,2026.0
CT,House,28,D,13.8,2026.0
CT,House,29,D,9.3,2026.0
CT,House,30,R,-7.2,2026.0
CT,House,31,D,25.1,2026.0
CT,House,32,R,8.2,2026.0
CT,House,33,D,32.3,2026.0
CT,House,34,R,0.6,2026.0
CT,House,35,R,6.9,2026.0
CT,House,36,D,16.2,2026.0
CT,House,37,D,18.7,2026.0
CT,House,38,D,8.7,2026.0
CT,House,39,D,44.1,2026.0
CT,House,40,D,22.2,2026.0
CT,House,41,D,32.9,2026.0
CT,House,42,D,27.9,2026.0
CT,House,43,R,9.4,2026.0
CT,House,44,R,-24.1,2026.0
CT,House,45,R,-12.6,2026.0
CT,House,46,D,23.2,2026.0
CT,House,47,R,-16.6,2026.0
CT,House,48,R,0.9,2026.0
CT,House,49,D,19.8,2026.0
CT,House,50,D,1.9,2026.0
CT,House,51,R,-19.2,2026.0
CT,House,52,R,-14.7,2026.0
CT,House,53,R,5.5,2026.0
CT,House,54,D,49.0,2026.0
CT,House,55,R,7.9,2026.0
CT,House,56,D,18.7,2026.0
CT,House,57,D,3.5,2026.0
CT,House,58,D,6.5,2026.0
CT,House,59,R,-0.2,2026.0
CT,House,60,D,28.2,2026.0
CT,House,61,R,1.1,2026.0
CT,House,62,R,1.1,2026.0
CT,House,63,R,-15.6,2026.0
CT,House,64,D,28.2,2026.0
CT,House,65,R,-11.3,2026.0
CT,House,66,R,-3.4,2026.0
CT,House,67,R,-5.2,2026.0
CT,House,68,R,-28.9,2026.0
CT,House,69,R,3.0,2026.0
